company,type,address,gu,dong
한성주얼리,폐수배출업소관리,서울특별시 종로구 익선동 38번지 ,종로구,익선동
나르샤,폐수배출업소관리,서울특별시 종로구 익선동 108번지 ,종로구,익선동
PREMUS,폐수배출업소관리,서울특별시 종로구 봉익동 7-1번지 ,종로구,봉익동
지케이쥬얼리,폐수배출업소관리,서울특별시 종로구 묘동 148-1번지 ,종로구,묘동
디컬러(DCOLOR),폐수배출업소관리,서울특별시 종로구 봉익동 122번지 ,종로구,봉익동
리코 주얼리,폐수배출업소관리,서울특별시 종로구 종로3가 18번지 ,종로구,종로3가
보람,폐수배출업소관리,서울특별시 종로구 봉익동 40-1번지 ,종로구,봉익동
서울대학교치과병원,폐수배출업소관리,서울특별시 종로구 연건동 275-1번지 ,종로구,연건동
유진염색,폐수배출업소관리,서울특별시 종로구 종로5가 248-2번지 ,종로구,종로5가
북악주유소,폐수배출업소관리,서울특별시 종로구 평창동 103-1번지 ,종로구,평창동
유진염색,폐수배출업소관리,서울특별시 종로구 종로5가 248-2번지 ,종로구,종로5가
반도염색,폐수배출업소관리,서울특별시 종로구 종로6가 97번지 ,종로구,종로6가
서울적십자 병원,폐수배출업소관리,서울특별시 종로구 평동 164번지 ,종로구,평동
유진염색,폐수배출업소관리,서울특별시 종로구 종로5가 248-2번지 ,종로구,종로5가
반도염색,폐수배출업소관리,서울특별시 종로구 종로6가 97번지 ,종로구,종로6가
태평양염색,폐수배출업소관리,서울특별시 종로구 종로5가 444-3번지 1층 ,종로구,종로5가
반도염색,폐수배출업소관리,서울특별시 종로구 종로6가 97번지 ,종로구,종로6가
신아염색,폐수배출업소관리,서울특별시 종로구 종로6가 34번지 ,종로구,종로6가
서울대학교 간연구소,폐수배출업소관리,서울특별시 종로구 연건동 28번지 (28-2) ,종로구,연건동
한국부식,폐수배출업소관리,서울특별시 종로구 관수동 139번지 ,종로구,관수동
진성기획,폐수배출업소관리,서울특별시 종로구 관수동 113-2번지 ,종로구,관수동
신미기업,폐수배출업소관리,서울특별시 종로구 관수동 134-7번지 ,종로구,관수동
청룡부식,폐수배출업소관리,서울특별시 종로구 관수동 132번지 ,종로구,관수동
현대부식,폐수배출업소관리,서울특별시 종로구 관수동 44번지 ,종로구,관수동
동현실업,폐수배출업소관리,서울특별시 종로구 관수동 55번지 ,종로구,관수동
용마,폐수배출업소관리,서울특별시 종로구 관수동 40번지 ,종로구,관수동
